game,round,iteration,depth,current_player,terr_attacked_in_round (actions taken)
1,1,1,0,Germans,1
1,1,1,0,Chinese,2
1,1,1,0,Russians,2
1,1,1,0,Italians,2
1,1,1,1,Germans,1
1,1,1,1,Chinese,2
1,1,1,1,Russians,2
1,1,1,1,Italians,2
1,1,1,2,Germans,3
1,1,1,2,Chinese,1
1,1,1,2,Russians,1
1,1,1,2,Italians,1
1,1,1,3,Germans,2
1,1,1,3,Chinese,2
1,1,1,3,Russians,2
1,1,1,3,Italians,2
1,1,1,4,Germans,2
1,1,1,4,Chinese,2
1,1,1,4,Russians,0
1,1,1,4,Italians,3
1,1,2,0,Germans,2
1,1,2,0,Chinese,2
1,1,2,0,Russians,2
1,1,2,0,Italians,2
1,1,2,1,Germans,2
1,1,2,1,Chinese,2
1,1,2,1,Russians,2
1,1,2,1,Italians,2
1,1,2,2,Germans,1
1,1,2,2,Chinese,1
1,1,2,2,Russians,1
1,1,2,2,Italians,2
1,1,2,3,Germans,1
1,1,2,3,Chinese,2
1,1,2,3,Russians,2
1,1,2,3,Italians,1
1,1,2,4,Germans,2
1,1,2,4,Chinese,3
1,1,2,4,Russians,2
1,1,2,4,Italians,3
1,1,3,0,Germans,2
1,1,3,0,Chinese,1
1,1,3,0,Russians,2
1,1,3,0,Italians,2
1,1,3,1,Germans,2
1,1,3,1,Chinese,2
1,1,3,1,Russians,2
1,1,3,1,Italians,2
1,1,3,2,Germans,1
1,1,3,2,Chinese,3
1,1,3,2,Russians,2
1,1,3,2,Italians,1
1,1,3,3,Germans,2
1,1,3,3,Chinese,2
1,1,3,3,Russians,3
1,1,3,3,Italians,2
1,1,3,4,Germans,1
1,1,3,4,Chinese,2
1,1,3,4,Russians,2
1,1,3,4,Italians,1
1,1,4,0,Germans,1
1,1,4,0,Chinese,2
1,1,4,0,Russians,2
1,1,4,0,Italians,2
1,1,4,1,Germans,1
1,1,4,1,Chinese,2
1,1,4,1,Russians,2
1,1,4,1,Italians,2
1,1,4,2,Germans,2
1,1,4,2,Chinese,1
1,1,4,2,Russians,1
1,1,4,2,Italians,2
1,1,4,3,Germans,2
1,1,4,3,Chinese,2
1,1,4,3,Russians,2
1,1,4,3,Italians,2
1,1,4,4,Germans,2
1,1,4,4,Chinese,3
1,1,4,4,Russians,2
1,1,4,4,Italians,3
1,1,5,0,Germans,1
1,1,5,0,Chinese,2
1,1,5,0,Russians,2
1,1,5,0,Italians,1
1,1,5,1,Germans,2
1,1,5,1,Chinese,2
1,1,5,1,Russians,2
1,1,5,1,Italians,2
1,1,5,2,Germans,3
1,1,5,2,Chinese,2
1,1,5,2,Russians,1
1,1,5,2,Italians,2
1,1,5,3,Germans,1
1,1,5,3,Chinese,2
1,1,5,3,Russians,2
1,1,5,3,Italians,1
1,1,5,4,Germans,2
1,1,5,4,Chinese,2
1,1,5,4,Russians,1
1,1,5,4,Italians,2
1,1,6,0,Germans,1
1,1,6,0,Chinese,2
1,1,6,0,Russians,2
1,1,6,0,Italians,1
1,1,6,1,Germans,1
1,1,6,1,Chinese,3
1,1,6,1,Russians,2
1,1,6,1,Italians,2
1,1,6,2,Germans,2
1,1,6,2,Chinese,2
1,1,6,2,Russians,1
1,1,6,2,Italians,2
1,1,6,3,Germans,3
1,1,6,3,Chinese,2
1,1,6,3,Russians,2
1,1,6,3,Italians,2
1,1,6,4,Germans,3
1,1,6,4,Chinese,2
1,1,6,4,Russians,3
1,1,6,4,Italians,1
1,1,7,0,Germans,1
1,1,7,0,Chinese,1
1,1,7,0,Russians,2
1,1,7,0,Italians,2
1,1,7,1,Germans,2
1,1,7,1,Chinese,2
1,1,7,1,Russians,2
1,1,7,1,Italians,2
1,1,7,2,Germans,2
1,1,7,2,Chinese,1
1,1,7,2,Russians,2
1,1,7,2,Italians,2
1,1,7,3,Germans,2
1,1,7,3,Chinese,2
1,1,7,3,Russians,2
1,1,7,3,Italians,2
1,1,7,4,Germans,1
1,1,7,4,Chinese,2
1,1,7,4,Russians,1
1,1,7,4,Italians,1
1,1,8,0,Germans,1
1,1,8,0,Chinese,1
1,1,8,0,Russians,2
1,1,8,0,Italians,2
1,1,8,1,Germans,2
1,1,8,1,Chinese,2
1,1,8,1,Russians,2
1,1,8,1,Italians,2
1,1,8,2,Germans,2
1,1,8,2,Chinese,1
1,1,8,2,Russians,2
1,1,8,2,Italians,2
1,1,8,3,Germans,2
1,1,8,3,Chinese,2
1,1,8,3,Russians,2
1,1,8,3,Italians,2
1,1,8,4,Germans,3
1,1,8,4,Chinese,2
1,1,8,4,Russians,1
1,1,8,4,Italians,2
1,1,9,0,Germans,1
1,1,9,0,Chinese,1
1,1,9,0,Russians,2
1,1,9,0,Italians,1
1,1,9,1,Germans,1
1,1,9,1,Chinese,2
1,1,9,1,Russians,2
1,1,9,1,Italians,2
1,1,9,2,Germans,3
1,1,9,2,Chinese,3
1,1,9,2,Russians,2
1,1,9,2,Italians,3
1,1,9,3,Germans,2
1,1,9,3,Chinese,1
1,1,9,3,Russians,2
1,1,9,3,Italians,3
1,1,9,4,Germans,2
1,1,9,4,Chinese,2
1,1,9,4,Russians,1
1,1,9,4,Italians,2
1,1,10,0,Germans,1
1,1,10,0,Chinese,1
1,1,10,0,Russians,2
1,1,10,0,Italians,1
1,1,10,1,Germans,2
1,1,10,1,Chinese,2
1,1,10,1,Russians,2
1,1,10,1,Italians,1
1,1,10,2,Germans,3
1,1,10,2,Chinese,1
1,1,10,2,Russians,1
1,1,10,2,Italians,2
1,1,10,3,Germans,2
1,1,10,3,Chinese,2
1,1,10,3,Russians,2
1,1,10,3,Italians,2
1,1,10,4,Germans,2
1,1,10,4,Chinese,2
1,1,10,4,Russians,1
1,1,10,4,Italians,1
1,1,11,0,Germans,1
1,1,11,0,Chinese,1
